A Coruña,Alvedro Airport,LCG
Lviv,Lviv Danylo Halytskyi International Airport,LWO
Lyon,Saint-Exupéry Airport,LYS
Lübeck,Lübeck Airport,LBC
Maastricht,Maastricht-Aachen Airport,MST
Macau,Macau International Airport,MFM
Maceió,Zumbi dos Palmares International Airport,MCZ
Machala,Santa Rosa International Airport,ETR
Madrid,Madrid-Barajas Airport,MAD
Madurai,Madurai International Airport,IXM
Magadan,Sokol Airport,GDX
Magnitogorsk,Magnitogorsk International Airport,MQF
Mahajanga,Amborovy Airport,MJN
Majuro,Marshall Islands International Airport,MAJ
Makassar,Hasanuddin International Airport,UPG
Makhachkala,Uytash Airport,MCX
Malabo,Malabo International Airport,SSG
Malatya,Erhaç Airport,MLX
Malmö,Malmö Airport,MMX
Manado,Sam Ratulangi International Airport,MDC
Managua,Augusto C. Sandino International Airport,MGA
Manama,Bahrain International Airport,BAH
Manaus,Eduardo Gomes International Airport,MAO
Manchester,Manchester Airport,MAN
Mandalay,Mandalay International Airport,MDL
Mangalore,Mangalore International Airport,IXE
Manila,Ninoy Aquino International Airport,MNL
Manta,Eloy Alfaro International Airport,MEC
Manzanillo Municipality,Playa de Oro International Airport,ZLO
Manzini,King Mswati III International Airport,SHO
Maputo,Maputo International Airport,MPM
Maracaibo,La Chinita International Airport,MAR
Maribor,Maribor Edvard Rusjan Airport,MBX
Marrakech,Marrakech-Menara Airport,RAK
Marsa Alam,Marsa Alam International Airport,RMF
Marseille,Provence Airport,MRS
Marsh Harbour,Marsh Harbour International Airport,MHH
Mary,Mary International Airport,MYP
Maseru,Moshoeshoe I International Airport,MSU
Mashhad,Mashhad International Airport,MHD
Mataram (city),Lombok International Airport,LOP
Maun,Maun Airport,MUB
Mazar-i-Sharif,Mazar-e Sharif International Airport,MZR
Mazatlán,General Rafael Buelna International Airport,MZT
Medan,Kuala Namu International Airport,KNO
Medellín,José María Córdova International Airport,MDE
Medina,Prince Mohammad Bin Abdulaziz International Airport,MED
Melbourne,Melbourne Airport,MEL
Melbourne,Melbourne International Airport,MLB
Memmingen,Memmingen Airport,FMM
Memphis,Memphis International Airport,MEM
Mendoza,Governor Francisco Gabrielli International Airport,MDZ
Menorca,Menorca Airport,MAH
Mersa Matruh,Mersa Matruh Airport,MUH
Mestia,Queen Tamar Airport,UGMS
Mexico City,Mexico City International Airport,MEX
Miami,Miami International Airport,MIA
Mianyang,Mianyang Nanjiao Airport,MIG
Middlesbrough,Durham Tees Valley Airport,MME
Milan,Linate Airport,LIN
Milan,Malpensa Airport,MXP
Milwaukee,General Mitchell International Airport,MKE
Mineralnye Vody,Mineralnye Vody Airport,MRV
Minneapolis/Saint Paul,Minneapolis-Saint Paul International Airport,MSP
Minsk,Minsk International Airport,MSQ
Mogadishu,Aden Adde International Airport,MGQ
Mombasa,Moi International Airport,MBA
Monastir,Habib Bourguiba International Airport,MIR
Moncton,Greater Moncton International Airport,YQM
Monrovia,Roberts International Airport,ROB
Montego Bay,Sangster International Airport,MBJ
Monterrey,General Mariano Escobedo International Airport,MTY
Montevideo,Carrasco International Airport,MVD
Montreal,Montreal-Pierre Elliott Trudeau International Airport,YUL
Morelia,General Francisco J. Mujica International Airport,MLM
Moroni,Prince Said Ibrahim International Airport,HAH
Moscow,Domodedovo International Airport,DME
Moscow,Sheremetyevo International Airport,SVO
Moscow,Vnukovo Airport,VKO
Moss Airport,Moss Airport,RYG
Mostar,Mostar International Airport,OMO
Mosul,Mosul International Airport,OSM
Muan,Muan International Airport,MWX
Mudanjiang,Mudanjiang Airport,MDG
Mulhouse,Basel-Mulhouse-Freiburg Airport,BSL
Multan,Multan International Airport,MUX
Mumbai,Chhatrapati Shivaji International Airport,BOM
Munich,Munich Airport,MUC
Murcia,Murcia-San Javier Airport,MJV
Murmansk,Murmansk Airport,MMK
Muscat,Muscat International Airport,MCT
Mykolaiv Oblast,Mykolaiv International Airport,NLV
Mykonos,Mykonos Island National Airport,JMK
Myrtle Beach,Myrtle Beach International Airport,MYR
Mytilene,Mytilene International Airport,MJT
Málaga,Málaga Airport,AGP
Mérida,Manuel Crescencio Rejón International Airport,MID
N'Djamena,N'Djamena International Airport,NDJ
Nadi,Nadi International Airport,NAN
Nador,Nador International Airport,NDR
Nagasaki,Nagasaki Airport,NGS
Nagoya,Chubu Centrair International Airport,NGO
Nagpur,Dr. Babasaheb Ambedkar International Airport,NAG
Nairobi,Jomo Kenyatta International Airport,NBO
Nakhchivan (city),Nakhchivan Airport,NAJ
Nalchik,Nalchik Airport,NAL
Namangan,Namangan Airport,NMA
Nampula,Nampula Airport,APL
Nanchang,Nanchang Changbei International Airport,KHN
Nanjing,Nanjing Lukou International Airport,NKG
Nanning,Nanning Wuxu International Airport,NNG
Nantes,Nantes Atlantique Airport,NTE
Nantong,Nantong Xingdong Airport,NTG
Naples,Capodichino Airport,NAP
Narsarsuaq,Narsarsuaq Airport,UAK
Nashville,Nashville International Airport,BNA
Nassau,Lynden Pindling International Airport,NAS
Natakhtari,Natakhtari Airfield,UGSA
Natal,Greater Natal International Airport,NAT
Navi Mumbai,Navi Mumbai International Airport,NMA
Naypyidaw,Naypyidaw International Airport,NYT
Ndiass,Blaise Diagne International Airport,DSS
Ndola,Simon Mwansa Kapwepwe International Airport,NLA
Nelspruit,Kruger Mpumalanga International Airport,MQP
Nevşehir,Kapadokya Airport,NAV
New Orleans,Louis Armstrong New Orleans International Airport,MSY
New York City,John F. Kennedy International Airport,JFK
New York City,LaGuardia Airport,LGA
Newark,Newark Liberty International Airport,EWR
Newburgh,Stewart International Airport,SWF
Newcastle upon Tyne,Newcastle Airport,NCL
Newquay,Newquay Cornwall Airport,NQY
Nha Trang,Cam Ranh International Airport,CXR
Niamey,Diori Hamani International Airport,NIM
Nice,Côte d'Azur Airport,NCE
Niigata,Niigata Airport,KIJ
Nijgadh,Nijgadh International Airport,NIJ
Ningbo,Ningbo Lishe International Airport,NGB
Nizhnekamsk,Begishevo Airport,NBC
Nizhnevartovsk,Nizhnevartovsk Airport,NJC
Nizhny Novgorod,Strigino Airport,GOJ
Niš,Niš Constantine the Great Airport,INI
Norfolk Island,Norfolk Airport,NLK
Norrköping,Norrköping Airport,NRK
North Nicosia,Ercan International Airport,ECN
Norwich,Norwich International Airport,NWI
Nosy Be,Fascene Airport,NOS
Nottingham,East Midlands Airport,EMA
Nouadhibou,Nouadhibou International Airport,NDB
Nouakchott,Nouakchott–Oumtounsy International Airport,NKC
Nouméa,La Tontouta International Airport,NOU
Novokuznetsk,Spichenkovo Airport,NOZ
Novosibirsk,Tolmachevo Airport,OVB
Nukuʻalofa,Fua{{Okina}}amotu International Airport,TBU
Nuremberg,Albrecht Dürer Airport,NUE
Nuuk,Nuuk Airport,GOH
Nîmes,Garons Airport,FNI
Oakland,Metropolitan Oakland International Airport,OAK
Oaxaca City,Xoxocotlán International Airport,OAX
Odessa,Lymanske International Airport,none
Odessa,Odessa International Airport,ODS
Ohrid,Ohrid St. Paul the Apostle Airport,OHD
Oita,Oita Airport,OIT
Okayama,Okayama Airport,OKJ
Olbia,Costa Smeralda Airport,OLB
Olongapo,Subic Bay International Airport,SFS
Omaha,Eppley Airfield,OMA
Omsk,Omsk Tsentralny Airport,OMS
Ontario,Ontario International Airport,ONT
Oradea,Oradea International Airport,OMR
Oral,Oral Ak Zhol Airport,URA
Oran,Oran Es Senia Airport,ORN
Orange County,John Wayne Airport,SNA
Oranjestad,F. D. Roosevelt Airport,EUX
Oranjestad,Queen Beatrix International Airport,AUA
Orenburg,Orenburg Tsentralny Airport,REN
Orlando,Orlando International Airport,MCO
Orlando,Orlando Sanford International Airport,SFB
Orsk,Orsk Airport,OSW
Osaka,Kansai International Airport,KIX
Osh,Osh Airport,OSS
Osijek,Osijek Airport,OSI
Oslo Airport,Oslo Airport-Gardermoen,OSL
Ostend,Ostend-Bruges International Airport,OST
Ostrava,Leoš Janáček Ostrava Airport,OSR
Ottawa,Ottawa Macdonald-Cartier International Airport,YOW
Ouagadougou,Ouagadougou Airport,OUA
Oujda,Angads Airport,OUD
Oulu,Oulu Airport,OUL
Oumache,Biskra Airport,BSK
Padang,Minangkabau International Airport,PDG
Pago Pago,Pago Pago International Airport,PPG
Pakse,Pakse International Airport,PKZ
Palanga,Palanga International Airport,PLQ
Palangkaraya,Tjilik Riwut Airport,PKY
Palembang,Sultan Mahmud Badaruddin II Airport,PLM
Palermo,Palermo Airport,PMO
Palm Springs,Palm Springs International Airport,PSP
Palma de Mallorca,Palma de Mallorca Airport,PMI
Palu,Mutiara Airport,PLW
Panama City Beach,Northwest Florida Beaches International Airport,ECP
Panama City,Tocumen International Airport,PTY
Panglao Island,Bohol–Panglao International Airport,TAG
Papeete,Faa'a International Airport,PPT
Paphos,Paphos International Airport,PFO
Paramaribo,Johan Adolf Pengel International Airport,PBM
Pardubice,Pardubice Airport,PED
Paris,Charles de Gaulle Airport,CDG
Paris,Orly Airport,ORY
Paro,Paro Airport,PBH
Patna,Jay Prakash Narayan International Airport,PAT
Pau,Uzein Airport,PUF
Pekanbaru,Sultan Syarif Qasim II International Airport,PKU
Pemba,Pemba Airport,POL
Penang,Penang International Airport,PEN
Pensacola,Pensacola International Airport,PNS
Pereira,Matecaña International Airport,PEI
Perm,Perm International Airport,PEE
Perpignan,Llabanère Airport,PGF
Perth,Perth Airport,PER
Perugia,San Egidio Airport,PEG
Pescara,Abruzzo Airport,PSR
Peshawar,Bacha Khan International Airport,PEW
Petrolina,Senador Nilo Coelho Airport,PNZ
Petropavlovsk-Kamchatsky,Yelizovo Airport,PKC
Petrozavodsk,Petrozavodsk Airport,PES
Philadelphia,Philadelphia International Airport,PHL
Philipsburg,Princess Juliana International Airport,SXM
Phnom Penh,Phnom Penh International Airport,PNH
Phoenix,Phoenix Sky Harbor International Airport,PHX
Phoenix,Phoenix–Mesa Gateway Airport,AZA
Phu Quoc,Phu Quoc International Airport,PQC
Phuket City,Phuket International Airport,HKT
Piešťany,Piešťany Airport,PZY
Pisa,Galileo Galilei Airport,PSA
Pittsburgh,Pittsburgh International Airport,PIT
Plaine Magnien,Sir Seewoosagur Ramgoolam International Airport,MRU
Plovdiv,Plovdiv Airport,PDV
Podgorica,Podgorica Airport,TGD
Pohnpei,Pohnpei International Airport,PNI
Pointe-Noire,Pointe Noire Airport,PNR
Pointe-à-Pitre,Pôle Caraïbes International Airport,PTP
Poitiers,Biard Airport,PIS
Pokhara,Pokhara International Airport,PKR
Ponta Delgada,João Paulo II Airport,PDL
Poprad,Poprad-Tatry Airport,TAT
Port Blair,Veer Savarkar International Airport,IXZ
Port Harcourt,Port Harcourt International Airport,PHC
Port Hedland,Port Hedland International Airport,PHE
Port Moresby,Jacksons International Airport,POM
Port Sudan,Port Sudan New International Airport,PZU
Port Vila,Bauerfield International Airport,VLI
Port of Spain,Piarco International Airport,POS
Port-Gentil,Port-Gentil International Airport,POG
Port-au-Prince,Toussaint Louverture International Airport,PAP
Portland,Portland International Airport,PDX
Portland,Portland International Jetport,PWM
Porto Alegre,Salgado Filho International Airport,POA
Porto Santo Island,Porto Santo Airport,PXO
Porto Velho,Governador Jorge Teixeira de Oliveira International Airport,PVH
Porto,Francisco Sá Carneiro Airport,OPO
Portorož,Portorož Airport,POW
Poznań,Poznań Ławica Airport,POZ
Prague,Prague Václav Havel Airport,PRG
Praia,Nelson Mandela International Airport,RAI
Preveza,Aktion National Airport,PVK
Pristina,Pristina International Airport,PRN
Providence,T.F. Green Airport,PVD
Providenciales,Providenciales Airport,PLS
Provideniya,Provideniya Bay Airport,PVS
Pskov,Pskov Airport,PKV
Puebla City,Hermanos Serdán International Airport,PBC
Puerto Cabezas,Puerto Cabezas Airport,PUZ
Puerto Iguazú,Cataratas del Iguazú International Airport,IGR
Puerto Montt,El Tepual International Airport,PMC
Puerto Princesa,Puerto Princesa International Airport,PPS
Puerto Vallarta,Lic. Gustavo Díaz Ordaz International Airport,PVR
Pula,Pula Airport,PUY
Pune,Chhatrapati Sambhaji Raje International Airport,CRANPQ
Pune,Pune International Airport,PNQ
Punta Arenas,Presidente Carlos Ibáñez del Campo International Airport,PUQ
Punta Cana,Punta Cana International Airport,PUJ
Punta del Este,Capitan Corbeta CA Curbelo International Airport,PDP
Pyongyang,Pyongyang International Airport,FNJ
Pécs-Pogány,Pécs-Pogány International Airport,QPJ
Qabala,Qabala International Airport,GBB
Qeshm,Dayrestan Airport,GSM
Qingdao,Qingdao liuting International Airport,TAO
Quanzhou,Quanzhou Jinjiang International Airport,JJN
Quebec City,Quebec/Jean Lesage International Airport,YQB
Queenstown,Queenstown Airport,ZQN
Querétaro City,Querétaro Intercontinental Airport,QRO
Quetta,Quetta International Airport,UET
Quito,Mariscal Sucre International Airport,UIO
Quảng Nam Province,Chu Lai International Airport,VCL
Rabat,Rabat-Salé Airport,RBA
Rahim Yar Khan,Shaikh Zayed International Airport,RYK
Raipur,Swami Vivekananda Airport,RPR
Raleigh,Raleigh-Durham International Airport,RDU
Ranchi,Birsa Munda International Airport,IXR
Ras al-Khaimah,Ras Al Khaimah International Airport,RKT
Rayong,U-Tapao International Airport,UTP
Recife,Guararapes International Airport,REC
Regina,Regina International Airport,YQR
Reno,Reno-Tahoe International Airport,RNO
Resistencia,Resistencia International Airport,RES
Reus,Reus Airport,REU
Reykjavík,Keflavik International Airport,KEF
Reykjavík,Reykjavik Airport,RKV
Rhodes,Rhodes International Airport,RHO
Riga,Riga International Airport,RIX
Rijeka,Rijeka Airport,RJK
Rimini,Federico Fellini Airport,RMI
Rio Branco,Rio Branco International Airport,RBR
Rio de Janeiro,Rio de Janeiro-Galeão International Airport,GIG
Rio de Janeiro,Santos Dumont Airport,SDU
Riyadh,King Khalid International Airport,RUH
Road Town,Terrance B. Lettsome International Airport,EIS
Roatán,Juan Manuel Gálvez International Airport,RTB
Rochester,Greater Rochester International Airport,ROC
Rochester,Rochester International Airport,RST
Rockford,Chicago Rockford International Airport,RFD
Rodez,Marcillac Airport,RDZ
Rome,Leonardo da Vinci-Fiumicino Airport,FCO
Rome,Rome Ciampino Airport,CIA
Roseau,Melville Hall Airport,DOM
Rostov-on-Don,Rostov-na-Donu Airport,ROV
Rota Island,Rota International Airport,ROP
Rotterdam,Rotterdam The Hague Airport,RTM
Rovaniemi,Rovaniemi Airport,RVN
Rzeszów,Rzeszów-Jasionka Airport,RZE
Río Gallegos,Piloto Civil N. Fernández International Airport,RGL
Saba,Juancho E. Yrausquin Airport,SAB
Sabha,Sebha Airport,SEB
Sacramento,Sacramento International Airport,SMF
Saidu Sharif,Saidu Sharif Airport,SDT
Saint Catherine,St. Catherine International Airport,SKV
Saint Croix,Henry E. Rohlsen Airport,STX
Saint Helena,Saint Helena Airport,HLE
Saint Jean,Gustaf III Airport,SBH
Saint Kitts,Robert L. Bradshaw International Airport,SKB
Saint Petersburg,Pulkovo Airport,LED
Saint Thomas,Cyril E. King Airport,STT
Saint-Denis,Roland Garros Airport,RUN
Saint-Pierre,Saint-Pierre Airport,FSP
Saint-Étienne,Bouthéon Airport,EBU
Saipan Island,Saipan International Airport,SPN
Sal,Amílcar Cabral International Airport,SID
Salalah,Salalah International Airport,SLL
Salt Lake City,Salt Lake City International Airport,SLC
Saltillo,Plan de Guadalupe International Airport,SLW
Salvador,Deputado Luís Eduardo Magalhães International Airport,SSA
Salzburg,Salzburg Airport,SZG
Samaná (town),Samaná El Catey International Airport,AZS
Samara,Samara Kurumoch Airport,KUF
Samarinda,Samarinda International Airport,SRI
Samos,Samos International Airport,SMI
Samsun,Samsun-Çarşamba Airport,SZF
San Andrés,Gustavo Rojas Pinilla International Airport,ADZ
San Antonio,San Antonio International Airport,SAT
San Bernardino,San Bernardino International Airport,SBD
San Carlos de Bariloche,Teniente Luis Candelaria International Airport,BRC
San Diego,San Diego International Airport,SAN
San Felipe de Puerto Plata,Gregorio Luperón International Airport,POP
San Francisco,San Francisco International Airport,SFO
San Jose,San Jose International Airport,SJC
San José,Juan Santamaría International Airport,SJO
San Juan de Puerto Rico,Luis Muñoz Marín International Airport,SJU
San Luis Potosí City,Ponciano Arriaga International Airport,SLP
San Pedro Sula,Ramón Villeda Morales International Airport,SAP
San Salvador,Monseñor Óscar Arnulfo Romero International Airport,SAL
Sana'a,Sana'a International Airport,SAH
Sandefjord Airport,Sandefjord Airport,TRF
Santa Clara,Abel Santa María Airport,SNU
Santa Cruz de Barahona,María Montez International Airport,BRX
Santa Cruz de la Sierra,Viru Viru International Airport,VVI
Santa Marta,Simón Bolívar International Airport,SMR
Santander,Santander Airport,SDR
Santiago de Compostela,Santiago de Compostela Airport,SCQ
Santiago de Cuba,Antonio Maceo Airport,SCU
Santiago de los Caballeros,Cibao International Airport,STI
Santiago,Comodoro Arturo Merino Benítez International Airport,SCL
Santo Domingo,Las Américas International Airport,SDQ
Santorini,Santorini (Thira) National Airport,JTR
Sanya,Sanya Phoenix International Airport,SYX
Sapporo,New Chitose Airport,CTS
Sarajevo,Sarajevo International Airport,SJJ
Sarasota,Sarasota-Bradenton International Airport,SRQ
Saratov,Saratov Tsentralny Airport,RTW
Saskatoon,Saskatoon John G. Diefenbaker International Airport,YXE
Seattle,King County International Airport,BFI
Seattle,Kenmore Air Harbor Seaplane Base,LKE
Seattle,Seattle-Tacoma International Airport,SEA
Seiyun,Seiyun Airport,GXF
Semarang,Achmad Yani International Airport,SRG
Sendai,Sendai Airport,SDJ
Seoul,Gimpo International Airport,GMP
Seville,Seville Airport,SVQ
Sfax,Thyna International Airport,SFA
Shanghai,Shanghai Hongqiao International Airport,SHA
Shanghai,Shanghai Pudong International Airport,PVG
Shannon,Shannon Airport,SNN
Sharjah (city),Sharjah International Airport,SHJ
Sharm el-Sheikh,Sharm el-Sheikh International Airport,SSH
Shenyang,Shenyang Taoxian International Airport,SHE
Shenzhen,Shenzhen Bao'an International Airport,SZX
Shijiazhuang,Shijiazhuang Zhengding International Airport,SJW
Shiraz,Shiraz International Airport,SYZ
Shizuoka,Shizuoka Airport,FSZ
Shymkent,Shymkent Airport,CIT
Sialkot,Sialkot International Airport,SKT
Sibiu,Sibiu International Airport,SBZ
Siddharthanagar,Gautam Buddha Airport,BWA
Siem Reap,Siem Reap International Airport,REP
Sihanoukville (city),Sihanouk International Airport,KOS
Siliguri,Bagdogra International Airport,IXB
Simferopol,Simferopol International Airport,SIP
Singapore,Singapore Changi Airport,SIN
Skardu,Skardu Airport,KDU
Skiathos,Skiathos Island National Airport,JSI
Skopje,Skopje Alexander the Great Airport,SKP
Skyros,Skyros Island National Airport,SKU
Sliač,Sliač Airport,SLD
Snohomish County,Paine Field,PAE
Sochi,Sochi International Airport,AER
Sofia,Sofia Airport,SOF
Sohag,Sohag International Airport,HMB
Sokhumi,Sukhumi Babushara Airport,SUI
Sokoto,Sadiq Abubakar III International Airport,SKO
South Eleuthera,Rock Sound International Airport,RSD
Southampton,Southampton Airport,SOU
Split (city),Split Airport,SPU
Spokane,Spokane International Airport,GEG
Srinagar,Srinagar Airport,SXR
St. Gallen,St. Gallen-Altenrhein Airport,ACH
St. George's,L.F. Wade International Airport,BDA
St. John's,St. John's International Airport,YYT
St. Louis,Lambert-Saint Louis International Airport,STL
St. Petersburg,St. Petersburg-Clearwater International Airport,PIE
Stavanger,Stavanger Airport,SVG
Stavropol,Stavropol Shpakovskoye Airport,STW
Stockholm Bromma Airport,Stockholm-Bromma Airport,BMA
Stockholm-Arlanda Airport,ARN,Large
Stockholm-Skavsta Airport,NYO,Small
Stockholm-Västerås Airport,VST,Non-Hub
Strasbourg,Strasbourg Airport,SXB
Stuttgart,Stuttgart Airport,STR
Subang,Sultan Abdul Aziz Shah Airport,SZB
Sulaymaniyah,Sulaimaniyah International Airport,ISU
Surabaya,Juanda International Airport,SUB
Surakarta,Adisumarmo International Airport,SOC
Surat Thani,Surat Thani Airport,URT
Surgut,Surgut International Airport,SGC
Suva,Nausori International Airport,SUV
Sydney,Sydney Airport,SYD
Syktyvkar,Syktyvkar Airport,SCW
Sylhet,Osmani International Airport,ZYL
Syracuse,Syracuse Hancock International Airport,SYR
Szczecin,"Szczecin-Goleniów ""Solidarność"" Airport",SZZ
São Luís,Marechal Cunha Machado International Airport,SLZ
São Paulo,São Paulo-Guarulhos International Airport,GRU
São Paulo,São Paulo–Congonhas Airport,CGH
São Tomé,São Tomé International Airport,TMS
São Vicente,Cesária Évora Airport,VXE
Sétif,Ain Arnat Airport,QSF
Taba,Taba International Airport,TCP
Tabarka,Tabarka–Aïn Draham International Airport,TBJ
Tabriz,Tabriz International Airport,TBZ
Taichung,Taichung International Airport,RMQ
Taipei,Taipei Songshan Airport,TSA
Taiyuan,Taiyuan Wusu International Airport,TYN
Tajoura,Mitiga International Airport,MJI
Tallahassee,Tallahassee International Airport,TLH
Tallinn,Lennart Meri Tallinn Airport,TLL
Tamale,Tamale Airport,TML
Tamanrasset,Tamanrasset Airport,TMR
Tampa,Tampa International Airport,TPA
Tampere,Tampere-Pirkkala Airport,TMP
Tampico,General Francisco Javier Mina International Airport,TAM
Tangier,Tangier-Boukhalef Airport,TNG
Taoyuan,Taoyuan International Airport,TPE
Tarawa,Bonriki International Airport,TRW
Tartu,Tartu Airport,TAY
Tashkent,Tashkent International Airport,TAS
Tbilisi,Tbilisi International Airport,TBS
Tegucigalpa,Toncontin International Airport,TGU
Tehran,Mehrabad International Airport,THR
Tehran,Tehran Imam Khomeini International Airport,IKA
Tel Aviv,Ben Gurion Airport,TLV
Tenerife,Tenerife South Airport,TFS
Tenerife,Tenerife North Airport,TFN
Terceira Island,Terceira Airport,TER
Teresina,Teresina Airport,THE
Tete,Chingozi Airport,TET
Tetouan,Sania Ramel Airport,TTU
The Valley,Clayton J. Lloyd International Airport,AXA
Thessaloniki,Thessaloniki International Airport,SKG
Tianjin,Tianjin Binhai International Airport,TSN
Tianshui,Tianshui Airport,THQ
Tijuana,Gral. Abelardo L. Rodríguez International Airport,TIJ
Timișoara,Traian Vuia International Airport,TSR
Tinian Island,Tinian International Airport,TIQ
Tirana,Tirana International Airport Nënë Tereza,TIA
Tirupati,Tirupati Airport,TIR
Tivat,Tivat Airport,TIV
Tlemcen,Zenata Airport,TLM
Toamasina,Toamasina Airport,TMM
Tobago,Arthur Napoleon Raymond Robinson International Airport (formerly Crown Point International Airport),TAB
Tokyo,Haneda International Airport,HND
Tokyo,Narita International Airport,NRT
Toliara,Toliara Airport,TLE
Toluca,Lic. Adolfo López Mateos International Airport,TLC
Tomsk,Bogashevo Airport,TOF
Toronto (Mississauga),Toronto Pearson International Airport,YYZ
Torreón,Francisco Sarabia International Airport,TRC
Toulon,Hyères Le Palyvestre Airport,TLN
Toulouse,Blagnac Airport,TLS
Tours,Tours Loire Valley Airport,TUF
Townsville,Townsville International Airport,TSV
Tozeur,Nefta International Airport,TOE
Trabzon,Trabzon Airport,TZX
Trapani,Vincenzo Florio Airport,TPS
Trichy,Tiruchirappalli International Airport,TRZ
Trieste,Friuli Venezia Giulia Airport,TRS
Tripoli,Tripoli International Airport,TIP
Trivandrum,Trivandrum International Airport,TRV
Tromsø,Tromsø Airport,TOS
Trondheim,Trondheim Airport,TRD
Tulcán,Teniente Coronel Luis a Mantilla International Airport,TUA
Tunis,Carthage International Airport,TUN
Turbat,Turbat International Airport,TUK
Turin,Caselle Airport,TRN
Turku,Turku Airport,TKU
Tuxtla Gutierrez,Angel Albino Corzo International Airport,TGZ
Tuzla,Tuzla International Airport,TZL
Tyumen,Roshchino International Airport,TJM
Tôlanaro,Tôlanaro Airport,FTU
Türkmenbaşy,Turkmenbashi International Airport,KRW
Uberlândia,Uberlândia Airport,UDI
Udon Thani,Udon Thani International Airport,UTH
Ufa,Ufa International Airport,UFA
Ulan Bator,Chinggis Khaan International Airport,ULN
Ulan-Ude,Baikal International Airport,UUD
Ulyanovsk,Ulyanovsk Vostochny Airport,ULY
Umeå,Umeå Airport,UME
Unguja,Abeid Amani Karume International Airport,ZNZ
Uruapan,Uruapan International Airport,UPN
Ushuaia,Ushuaia International Airport,USH
Vaasa,Vaasa Airport,VAA
Valencia (city in Spain),Valencia Airport,VLC
Valencia,Arturo Michelena International Airport,VLN
Valladolid,Valladolid Airport,VLL
Valletta,Malta International Airport,MLA
Vancouver,Vancouver International Airport,YVR
Varadero,Juan Gualberto Gómez Airport,VRA
Varanasi,Lal Bahadur Shastri International Airport,VNS
Varna,Varna Airport,VAR
Vavaʻu,Vava'u International Airport,VAV
Venice,Venice Marco Polo Airport,VCE
Ventspils,Ventspils International Airport,VNT
Veracruz (city),General Heriberto Jara International Airport,VER
Verona,Verona Airport,VRN
Victoria Falls,Victoria Falls Airport,VFA
Victoria,Seychelles International Airport,SEZ
Victoria,Victoria International Airport,YYJ
Vienna,Vienna International Airport,VIE
Vientiane,Wattay International Airport,VTE
Vieux Fort Quarter,Hewanorra International Airport,UVF
Vijayawada,Vijayawada International Airport,VGA
Vilankulo,Vilankulo Airport,VNX
Villahermosa,Carlos Rovirosa Pérez International Airport,VSA
Vilnius,Vilnius International Airport,VNO
Visakhapatnam,Bhogapuram Airport,VSA
Visakhapatnam,Visakhapatnam Airport,VTZ
Visby,Visby Airport,VBY
Vitória,Eurico de Aguiar Salles Airport,VIX
Vladikavkaz,Beslan Airport,OGZ
Vladivostok,Vladivostok International Airport,VVO
Volgograd,Volgograd International Airport,VOG
Volos,Nea Anchialos National Airport,VOL
Voronezh,Voronezh International Airport,VOZ
Vágar,Vágar Airport,FAE
Växjö,Växjö Airport,VXO
Wallis Island,Hihifo Airport,WLS
Walvis Bay,Walvis Bay Airport,WVB
Warsaw,Frédéric Chopin Airport,WAW
Warsaw,Modlin Airport,WMI
Washington,Ronald Reagan Washington National Airport**,DCA
Washington,Washington Dulles International Airport,IAD
Weeze,Weeze Airport,NRN
Weihai,Weihai International Airport,WEH
Wellington,Wellington International Airport,WLG
Wenzhou,Wenzhou Yongqiang Airport,WNZ
West Palm Beach,Palm Beach International Airport,PBI
Willemstad,Hato International Airport,CUR
Windhoek,Hosea Kutako International Airport,WDH
Winnipeg,Winnipeg James Armstrong Richardson International Airport,YWG
Wrocław,Copernicus Airport Wrocław,WRO
Wuhan,Wuhan Tianhe International Airport,WUH
Wuxi,Sunan Shuofang International Airport,WUX
Xi'an,Xi'an Xianyang International Airport,XIY
Xiamen,Xiamen Gaoqi International Airport,XMN
Xiangyang,Xiangyang Airport,XFN
Xichang,Xichang Qingshan Airport,XIC
Xining,Xining Caojiabao Airport,XNN
Xuzhou,Xuzhou Guanyin Airport,XUZ
Yakutsk,Yakutsk Airport,YKS
Yancheng,Yancheng Nanyang Airport,YNZ
Yangon,Yangon International Airport,RGN
Yangyang,Yangyang International Airport,YNY
Yanji,Yanji Airport,YNJ
Yantai,Yantai Penglai International Airport,YNT
Yaoundé,Nsimalen Airport,NSI
Yap,Yap International Airport,YAP
Yaren District,Nauru International Airport,INU
Yaroslavl,Tunoshna Airport,IAR
Yekaterinburg,Koltsovo International Airport,SVX
Yerevan,Zvartnots International Airport,EVN
Yinchuan,Yinchuan Hedong International Airport,INC
Yogyakarta,Adisucipto International Airport,JOG
Yuzhno-Sakhalinsk,Yuzhno-Sakhalinsk Airport,UUS
Zacatecas City,General Leobardo C. Ruiz International Airport,ZCL
Zadar,Zadar Airport,ZAD
Zagreb,Franjo Tuđman Airport,ZAG
Zakynthos,Zakynthos International Airport,ZTH
Zamboanga City,Zamboanga International Airport,ZAM
Zaporizhia,Zaporizhia International Airport,OZH
Zaragoza,Zaragoza Airport,ZAZ
Zhangjiajie,Zhangjiajie Hehua Airport,DYG
Zhangye,Zhangye Ganzhou Airport,YZY
Zhengzhou,Zhengzhou Xinzheng International Airport,CGO
Zhoushan,Zhoushan Putuoshan Airport,HSN
